State,avg_wait_minutes,hospital_count
AK,134.6,17
AL,151.7,82
AR,135.9,67
AZ,183.6,61
CA,185.5,265
CO,137.3,75
CT,196.9,26
DC,326.5,6
DE,219.2,6
FL,154.6,178
GA,168.0,123
GU,146.0,1
HI,118.9,20
IA,126.7,108
ID,130.0,38
IL,177.6,154
IN,149.0,106
KS,122.3,117
KY,146.7,82
LA,134.6,89
MA,225.1,54
MD,247.7,40
ME,162.0,30
MI,162.5,118
MN,134.5,121
MO,159.4,98
MS,134.3,69
MT,120.4,53
NC,184.6,94
ND,114.9,43
NE,118.3,82
NH,164.8,26
NJ,185.5,60
NM,167.1,32
NV,147.2,35
NY,200.3,140
OH,159.6,139
OK,121.7,98
OR,161.9,54
PA,186.9,137
PR,306.3,6
RI,223.4,10
SC,163.8,52
SD,114.4,51
TN,161.9,90
TX,145.6,329
UT,133.6,44
VA,164.1,79
VT,178.1,9
WA,172.9,74
WI,135.6,118
WV,146.7,43
WY,129.3,21
