State,avg_sepsis_compliance,hospital_count
AK,60.2,11
AL,59.9,64
AR,63.8,42
AZ,55.8,58
CA,67.0,274
CO,73.3,51
CT,52.2,25
DC,53.7,6
DE,54.7,6
FL,70.9,169
GA,56.5,98
GU,37.0,1
HI,75.6,13
IA,63.3,46
ID,63.7,15
IL,59.9,128
IN,64.0,93
KS,63.3,49
KY,68.0,62
LA,66.7,64
MA,54.4,49
MD,63.1,41
ME,64.3,21
MI,57.9,93
MN,54.6,59
MO,59.7,68
MS,59.2,51
MT,71.5,15
NC,60.6,84
ND,60.2,14
NE,62.1,30
NH,60.3,18
NJ,69.8,60
NM,52.9,29
NV,66.2,23
NY,56.8,129
OH,62.0,126
OK,60.2,56
OR,56.2,45
PA,61.0,130
PR,18.1,12
RI,61.1,9
SC,64.5,50
SD,66.9,16
TN,59.6,73
TX,65.4,229
UT,66.4,36
VA,63.8,76
VI,22.0,1
VT,56.8,6
WA,57.6,55
WI,68.7,85
WV,62.0,29
WY,60.0,12
